# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,0.003479968,4960.0,-1440.0,-800.0,6400.0,,,1.6000000000251924e-08,319999999994.96155,740000000000.0,2.1999999999695874e-08,661548.7748184795,0.6151137629978346,-1040.0,4960.0,,,,,
1,False,0.004340392,6240.0,-1760.0,-880.0,8000.0,0.0008604240000000003,1162.2176973213202,1.6000000000251924e-08,371999999994.14276,960000000000.0,2.3999999999510524e-08,8210989.950643385,0.9893337203338314,-160.0,6240.0,,,,,
2,False,0.004825487999999999,5520.0,-1840.0,-800.0,7360.0,0.0004850959999999991,2061.4476309843863,1.6000000000251924e-08,367999999994.20575,740000000000.0,1.9999999999881224e-08,12139620.995034061,0.9986000628537324,0.0,5600.0,,,,,
3,False,0.005566144,7360.0,-3040.0,-960.0,10400.0,0.000740656000000001,1350.1544576699557,1.2000000000622624e-08,693333333297.3595,1079999999999.9999,2.3999999999510524e-08,8275643.649236509,0.6552963390660316,-80.0,7360.0,,,,,
4,False,0.0060198000000000005,4880.0,-1840.0,-800.0,6720.0,0.0004536560000000002,2204.3134004620233,1.6000000001986647e-08,335999999958.2804,1059999999999.9999,1.6000000001986647e-08,7137025.547552934,0.5018578107038895,160.0,4880.0,,,,,
5,True,0.00689266,5200.0,-1760.0,-720.0,6960.0,0.0008728599999999996,1145.6590976788953,7.9999999992586e-09,640000000059.312,1220000000000.0,2.4000000001245247e-08,2254668.9368382785,0.17986143493298534,-160.0,5200.0,,,,,
6,False,0.007120184,4960.0,-1280.0,-800.0,6240.0,0.00022752399999999978,4395.140732406256,7.9999999992586e-09,584000000054.1222,680000000000.0,2.39999999977758e-08,23294335.56543378,0.9964125682077429,-80.0,4960.0,,,,,
7,False,0.0073704800000000004,5120.0,-1600.0,-800.0,6720.0,0.00025029600000000055,3995.269600792653,8.000000002728047e-09,615999999789.9404,900000000000.0,2.39999999977758e-08,22463256.887187716,0.9968134416644717,-80.0,5120.0,,,,,
8,False,0.007628207999999999,4960.0,-2080.0,-800.0,7040.0,0.00025772799999999874,3880.05959771544,1.2000000000622624e-08,469333333308.9818,1140000000000.0,2.4000000001245247e-08,21176551.99791697,0.9962650766202779,-80.0,5040.0,,,,,
9,False,0.007935636000000001,5520.0,-1680.0,-800.0,7200.0,0.00030742800000000195,3252.7941501749797,1.2000000000622624e-08,474666666642.03845,760000000000.0,2.4000000001245247e-08,19044828.253892507,0.9960829724307723,-160.0,5440.0,,,,,
10,True,0.008705764,5280.0,-1600.0,-800.0,6880.0,0.0007701279999999984,1298.4854465751175,1.59999999985172e-08,344000000031.8802,860000000000.0,1.9999999999881224e-08,4619528.233185202,0.3739931259941931,-80.0,5280.0,,,,,
